Function,Type In, Type Out
:c:func:`f32_unpack()`             , "``float``                              ", "``int32_t``, :c:type:`exponent_t`"
:c:func:`f32_unpack_s16()`         , "``float``                              ", "``int16_t``, :c:type:`exponent_t`  "
:c:func:`f32_to_float_s32()`       , "``float``                              ", ":c:type:`float_s32_t`   "
:c:func:`f64_to_float_s32()`       , "``double``                             ", ":c:type:`float_s32_t`   "
:c:func:`float_s32_to_float_s64()` , ":c:type:`float_s32_t`                  ", ":c:type:`float_s64_t`   "
:c:func:`float_s32_to_float()`     , ":c:type:`float_s32_t`                  ", "``float``               "
:c:func:`float_s32_to_double()`    , ":c:type:`float_s32_t`                  ", "``double``              "
:c:func:`s16_to_s32()`             , "``int16_t``, :c:type:`exponent_t`      ", "``int32_t``, :c:type:`exponent_t`"
:c:func:`s32_to_s16()`             , "``int32_t``, :c:type:`exponent_t`      ", "``int16_t``, :c:type:`exponent_t`"
:c:func:`s64_to_s32()`             , "``int64_t``, :c:type:`exponent_t`      ", "``int32_t``, :c:type:`exponent_t`"
:c:func:`s32_to_f32()`             , "``int32_t``, :c:type:`exponent_t`      ", "``float``"
:c:func:`radians_to_sbrads()`      , ":c:type:`radian_q24_t`                 ", ":c:type:`sbrad_t`"
:c:func:`s32_to_chunk_s32()`       , "``int32_t``                            ", "``int32_t[8]``"
:c:func:`float_s64_to_float_s32()` , ":c:type:`float_s64_t`                  ", ":c:type:`float_s32_t`"
